[2018-11-06 12:40:43] main.CRITICAL: Can't create directory /var/www/html/kirana/generated/code/Magento/Framework/App/ResourceConnection/.
Class Magento\Framework\App\ResourceConnection\Proxy generation error: The requested class did not generate properly, because the 'generated' directory permission is read-only. If --- after running the 'bin/magento setup:di:compile' CLI command when the 'generated' directory permission is set to write --- the requested class did not generate properly, then you must add the generated class object to the signature of the related construct method, only. [] []
[2018-11-06 12:40:58] main.CRITICAL: Can't create directory /var/www/html/kirana/generated/code/Magento/Framework/App/ResourceConnection/.
Class Magento\Framework\App\ResourceConnection\Proxy generation error: The requested class did not generate properly, because the 'generated' directory permission is read-only. If --- after running the 'bin/magento setup:di:compile' CLI command when the 'generated' directory permission is set to write --- the requested class did not generate properly, then you must add the generated class object to the signature of the related construct method, only. [] []
[2018-11-06 12:41:23] main.ERROR: Error: Application is not installed yet.  [] []
[2018-11-06 12:52:57] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_4","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:52:57] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_4","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:52:58] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_21","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:06] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_21","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_36","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_36","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_1","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_1","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_3","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_3","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_9","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_9","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_10","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_10","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_11","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_11","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_17","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_17","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_18","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_18","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_19","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_19","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_20","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_20","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_27","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_27","FPC"],"mode":"matchingTag"}} []
[2018-11-06 12:53:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-06 12:53:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/kirana/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
